Filename,Start,PolyHeader,PolySize,Bytes,,,,,PolyHeader,,ENGISTQCC,,," # print(""bit0-1   | Culling      :["" + str(p_flag_bit0_1) + ""] "" + bit_ppar0_1[(p_flag_bit0_1)])"
model_BAS00_002.bin,8552,f2 00 00 00,3,48,,,,,,,,,,
model_BAS00_004.bin,3224,f2 00 00 00,3,48,,,,,,,,,,
model_BAS00_005.bin,1224,f2 00 00 00,3,48,,,,,,,,,,
model_BAS00_006.bin,1496,f2 00 00 00,3,48,,,,,,,,,,
model_BAS00_007.bin,1072,f2 00 00 00,3,48,,,,,,,,,,
model_BAS00_009.bin,5224,f2 00 00 00,3,48,,,,,,,,,,
model_BAS00_012.bin,4312,f2 00 00 00,3,48,,,,,,,,,,
model_BAS00_012.bin,4368,f2 00 00 00,3,48,,,,,,,,,,
model_BAS00_012.bin,4424,f2 00 00 00,3,48,,,,,,,,,,
model_BAS00_017.bin,1728,f2 00 00 00,3,48,,,,,,,,,,
model_BAS00_019.bin,1232,f2 00 00 00,3,48,,,,,,,,,,
model_BAS00_020.bin,1072,f2 00 00 00,3,48,,,,,,,,,,
model_BAS00_022.bin,2808,f2 00 00 00,3,48,,,,,,,,,,
model_BAS00_022.bin,5160,f2 00 00 00,3,48,,,,,,,,,,
model_BAS00_023.bin,1960,f2 00 00 00,3,48,,,,,,,,,,
model_BAS00_024.bin,23416,f2 00 00 00,3,48,,,,,,,,,,
model_BAS00_028.bin,3568,f2 00 00 00,3,48,,,,,,,,,,
model_BAS00_030.bin,2688,f2 00 00 00,3,48,,,,,,,,,,
model_BAS00_030.bin,3216,f2 00 00 00,3,48,,,,,,,,,,
model_BAS00_030.bin,4120,f2 00 00 00,3,48,,,,,,,,,,
model_BAS00_037.bin,1440,f2 00 00 00,3,48,,,,,,,,,,
model_BAS00_038.bin,1488,f2 00 00 00,3,48,,,,,,,,,,
model_BAS00_043.bin,1440,f2 00 00 00,3,48,,,,,,,,,,
model_BAS00_044.bin,1488,f2 00 00 00,3,48,,,,,,,,,,
model_BAS00_002.bin,41152,f2 00 00 00,3,56,,,,,,,,,,
model_BAS00_003.bin,45712,f2 00 00 00,3,56,,,,,,,,,,
model_BAS00_010.bin,1944,f2 00 00 00,3,56,,,,,,,,,,
model_BAS00_030.bin,5504,f2 00 00 00,3,56,,,,,,,,,,
model_BAS00_002.bin,10176,f2 00 00 00,3,72,,,,,,,,,,
model_BAS00_003.bin,43168,f1 00 00 00,3,80,,,,,,,,,,
model_BAS00_015.bin,3672,f2 00 00 00,3,80,,,,,,,,,,
model_BAS00_016.bin,1072,f2 00 00 00,3,80,,,,,,,,,,
model_BAS00_003.bin,65824,72 00 00 00,3,96,,,,,,,,,,
model_BAS00_004.bin,1232,f2 00 00 00,3,96,,,,,,,,,,
model_BAS00_004.bin,1368,f2 00 00 00,3,96,,,,,,,,,,
model_BAS00_012.bin,336,f2 00 00 00,3,96,,,,,,,,,,
model_BAS00_024.bin,23208,f2 00 00 00,3,96,,,,,,,,,,
model_BAS00_024.bin,23312,f2 00 00 00,3,96,,,,,,,,,,
model_BAS00_025.bin,336,f2 00 00 00,3,96,,,,,,,,,,
model_BAS00_003.bin,53960,f1 00 00 00,3,104,,,,,,,,,,
model_BAS00_003.bin,56008,f1 00 00 00,3,104,,,,,,,,,,
model_BAS00_002.bin,8608,f2 00 00 00,3,104,,,,,,,,,,
model_BAS00_030.bin,1584,f2 00 00 00,3,104,,,,,,,,,,
model_BAS00_035.bin,1320,f2 00 00 00,3,104,,,,,,,,,,
model_BAS00_037.bin,1328,f2 00 00 00,3,104,,,,,,,,,,
model_BAS00_041.bin,1320,f2 00 00 00,3,104,,,,,,,,,,
model_BAS00_043.bin,1328,f2 00 00 00,3,104,,,,,,,,,,
model_BAS00_003.bin,54568,f1 00 00 00,3,128,,,,,,,,,,
model_BAS00_002.bin,7032,f2 00 00 00,3,128,,,,,,,,,,
model_BAS00_029.bin,2680,f2 00 00 00,3,128,,,,,,,,,,
model_BAS00_030.bin,4176,f2 00 00 00,3,128,,,,,,,,,,
model_BAS00_034.bin,1360,f2 00 00 00,3,160,,,,,,,,,,
model_BAS00_039.bin,1360,f2 00 00 00,3,160,,,,,,,,,,
model_BAS00_040.bin,1360,f2 00 00 00,3,160,,,,,,,,,,
model_BAS00_045.bin,1360,f2 00 00 00,3,160,,,,,,,,,,
model_BAS00_030.bin,104,52 00 00 00,3,176,,,,,,,,,,
model_BAS00_030.bin,3272,72 00 00 00,3,176,,,,,,,,,,
model_BAS00_003.bin,65928,f2 00 00 00,3,176,,,,,,,,,,
model_BAS00_030.bin,2744,f2 00 00 00,3,264,,,,,,,,,,
model_BAS00_031.bin,1232,f2 00 00 00,3,368,,,,,,,,,,
model_BAS00_003.bin,8408,f2 00 00 00,4,32,,,,,,,,,,
model_BAS00_003.bin,4096,72 00 00 00,4,56,,,,,,,,,,
model_BAS00_003.bin,4984,72 00 00 00,4,56,,,,,,,,,,
model_BAS00_003.bin,8552,f2 00 00 00,4,56,,,,,,,,,,
model_BAS00_003.bin,9376,f2 00 00 00,4,56,,,,,,,,,,
model_BAS00_003.bin,12128,f2 00 00 00,4,56,,,,,,,,,,
model_BAS00_003.bin,16192,f2 00 00 00,4,56,,,,,,,,,,
model_BAS00_003.bin,17248,f2 00 00 00,4,56,,,,,,,,,,
model_BAS00_003.bin,18736,f2 00 00 00,4,56,,,,,,,,,,
model_BAS00_003.bin,20872,f2 00 00 00,4,56,,,,,,,,,,
model_BAS00_003.bin,11568,72 00 00 00,4,80,,,,,,,,,,
model_BAS00_003.bin,9824,f2 00 00 00,4,80,,,,,,,,,,
model_BAS00_003.bin,16792,f2 00 00 00,4,80,,,,,,,,,,
model_BAS00_003.bin,12800,f2 00 00 00,4,104,,,,,,,,,,
model_BAS00_003.bin,21456,f2 00 00 00,4,104,,,,,,,,,,
model_BAS00_003.bin,22512,f2 00 00 00,4,104,,,,,,,,,,
model_BAS00_011.bin,784,f2 00 00 00,4,104,,,,,,,,,,
model_BAS00_024.bin,920,f2 00 00 00,4,104,,,,,,,,,,
model_BAS00_003.bin,66112,52 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,41264,56 00 00 00,4,128,,,,,,,,,,
model_BAS00_003.bin,46424,71 00 00 00,4,128,,,,,,,,,,
model_BAS00_003.bin,54704,71 00 00 00,4,128,,,,,,,,,,
model_BAS00_003.bin,56120,71 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,104,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,5840,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,7168,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,8720,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_003.bin,104,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_003.bin,22376,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_003.bin,38504,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_003.bin,43304,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_003.bin,44184,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_003.bin,70608,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_004.bin,104,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_005.bin,104,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_006.bin,104,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_009.bin,104,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_009.bin,800,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_009.bin,3256,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_010.bin,104,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_011.bin,104,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_011.bin,6320,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_011.bin,9352,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_011.bin,16232,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_012.bin,3256,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_013.bin,104,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_014.bin,104,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_015.bin,2592,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_017.bin,104,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_018.bin,104,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_019.bin,104,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_022.bin,104,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_022.bin,800,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_023.bin,104,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_023.bin,1504,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_024.bin,104,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_024.bin,6272,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_024.bin,9304,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_024.bin,16224,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_024.bin,22416,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_026.bin,104,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_027.bin,104,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_028.bin,2592,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_030.bin,5616,72 00 00 00,4,128,,,,,,,,,,
model_BAS00_003.bin,66248,d2 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,41400,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,41536,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,41672,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,41808,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,41944,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,42080,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,42216,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,42352,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,42488,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,42624,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,42760,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,42896,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,43032,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,43168,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,43304,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,43440,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,43576,d6 00 00 00,4,128,,,,,,,,,,
